Scenario,Mode,Fuel,2020,2025,2030,2040,2050
HHH,Road,Diesel,100,100,100,100,100
HHH,Road,Battery electric,0.2,2,15,45,80
HHH,Road,Hydrogen,0,0,10,25,50
HHH,Road,Biodiesel,5,6,10,20,30
HHH,Road,Biogas,0,1,5,10,20
HHH,Sea,HFO,100,100,100,100,100
HHH,Sea,MGO,100,100,100,100,100
HHH,Sea,LNG,10,20,30,30,50
HHH,Sea,Hydrogen,0,0,5,12,30
HHH,Sea,Ammonia,0,0,7,30,50
HHH,Sea,Biodiesel (HVO),0,0,5,10,20
HHH,Sea,Biogas,0,0,5,10,20
HHH,Rail,Diesel,100,100,100,100,100
HHH,Rail,Electric train (CL),100,100,100,100,100
HHH,Rail,Battery train,0,0,10,30,50
HHH,Rail,Hydrogen,0,0,2,6,10
HHH,Rail,Biodiesel,0,0,5,10,20
HHM,Road,Diesel,100,100,100,100,100
HHM,Road,Battery electric,0.2,2,15,45,80
HHM,Road,Hydrogen,0,0,10,25,50
HHM,Road,Biodiesel,5,6,10,15,20
HHM,Road,Biogas,0,1,4,7,10
HHM,Sea,HFO,100,100,100,100,100
HHM,Sea,MGO,100,100,100,100,100
HHM,Sea,LNG,10,20,30,30,50
HHM,Sea,Hydrogen,0,0,5,12,30
HHM,Sea,Ammonia,0,0,7,30,50
HHM,Sea,Biodiesel (HVO),0,0,2,6,10
HHM,Sea,Biogas,0,0,2,6,10
HHM,Rail,Diesel,100,100,100,100,100
HHM,Rail,Electric train (CL),100,100,100,100,100
HHM,Rail,Battery train,0,0,10,30,50
HHM,Rail,Hydrogen,0,0,2,6,10
HHM,Rail,Biodiesel,0,0,2,6,10
HHL,Road,Diesel,100,100,100,100,100
HHL,Road,Battery electric,0.2,2,15,45,80
HHL,Road,Hydrogen,0,0,10,25,50
HHL,Road,Biodiesel,5,6,7,8.5,10
HHL,Road,Biogas,0,1,2,3.5,5
HHL,Sea,HFO,100,100,100,100,100
HHL,Sea,MGO,100,100,100,100,100
HHL,Sea,LNG,10,20,30,30,50
HHL,Sea,Hydrogen,0,0,5,12,30
HHL,Sea,Ammonia,0,0,7,30,50
HHL,Sea,Biodiesel (HVO),0,0,2,3.5,5
HHL,Sea,Biogas,0,0,2,3.5,5
HHL,Rail,Diesel,100,100,100,100,100
HHL,Rail,Electric train (CL),100,100,100,100,100
HHL,Rail,Battery train,0,0,10,30,50
HHL,Rail,Hydrogen,0,0,2,6,10
HHL,Rail,Biodiesel,0,0,0,0,0
HMH,Road,Diesel,100,100,100,100,100
HMH,Road,Battery electric,0.2,2,15,45,80
HMH,Road,Hydrogen,0,0,5,15,25
HMH,Road,Biodiesel,5,6,10,20,30
HMH,Road,Biogas,0,1,5,10,20
HMH,Sea,HFO,100,100,100,100,100
HMH,Sea,MGO,100,100,100,100,100
HMH,Sea,LNG,10,20,30,30,50
HMH,Sea,Hydrogen,0,0,2,6,10
HMH,Sea,Ammonia,0,0,3,12,25
HMH,Sea,Biodiesel (HVO),0,0,5,10,20
HMH,Sea,Biogas,0,0,5,10,20
HMH,Rail,Diesel,100,100,100,100,100
HMH,Rail,Electric train (CL),100,100,100,100,100
HMH,Rail,Battery train,0,0,10,30,50
HMH,Rail,Hydrogen,0,0,1,3,5
HMH,Rail,Biodiesel,0,0,5,10,20
HMM,Road,Diesel,100,100,100,100,100
HMM,Road,Battery electric,0.2,2,15,45,80
HMM,Road,Hydrogen,0,0,5,15,25
HMM,Road,Biodiesel,5,6,10,15,20
HMM,Road,Biogas,0,1,4,7,10
HMM,Sea,HFO,100,100,100,100,100
HMM,Sea,MGO,100,100,100,100,100
HMM,Sea,LNG,10,20,30,30,50
HMM,Sea,Hydrogen,0,0,2,6,10
HMM,Sea,Ammonia,0,0,3,12,25
HMM,Sea,Biodiesel (HVO),0,0,2,6,10
HMM,Sea,Biogas,0,0,2,6,10
HMM,Rail,Diesel,100,100,100,100,100
HMM,Rail,Electric train (CL),100,100,100,100,100
HMM,Rail,Battery train,0,0,10,30,50
HMM,Rail,Hydrogen,0,0,1,3,5
HMM,Rail,Biodiesel,0,0,2,6,10
HML,Road,Diesel,100,100,100,100,100
HML,Road,Battery electric,0.2,2,15,45,80
HML,Road,Hydrogen,0,0,5,15,25
HML,Road,Biodiesel,5,6,7,8.5,10
HML,Road,Biogas,0,1,2,3.5,5
HML,Sea,HFO,100,100,100,100,100
HML,Sea,MGO,100,100,100,100,100
HML,Sea,LNG,10,20,30,30,50
HML,Sea,Hydrogen,0,0,2,6,10
HML,Sea,Ammonia,0,0,3,12,25
HML,Sea,Biodiesel (HVO),0,0,2,3.5,5
HML,Sea,Biogas,0,0,2,3.5,5
HML,Rail,Diesel,100,100,100,100,100
HML,Rail,Electric train (CL),100,100,100,100,100
HML,Rail,Battery train,0,0,10,30,50
HML,Rail,Hydrogen,0,0,1,3,5
HML,Rail,Biodiesel,0,0,0,0,0
HLH,Road,Diesel,100,100,100,100,100
HLH,Road,Battery electric,0.2,2,15,45,80
HLH,Road,Hydrogen,0,0,0,1,2
HLH,Road,Biodiesel,5,6,10,20,30
HLH,Road,Biogas,0,1,5,10,20
HLH,Sea,HFO,100,100,100,100,100
HLH,Sea,MGO,100,100,100,100,100
HLH,Sea,LNG,10,20,30,30,50
HLH,Sea,Hydrogen,0,0,0,0,0
HLH,Sea,Ammonia,0,0,3,6,10
HLH,Sea,Biodiesel (HVO),0,0,5,10,20
HLH,Sea,Biogas,0,0,5,10,20
HLH,Rail,Diesel,100,100,100,100,100
HLH,Rail,Electric train (CL),100,100,100,100,100
HLH,Rail,Battery train,0,0,10,30,50
HLH,Rail,Hydrogen,0,0,0,0,0
HLH,Rail,Biodiesel,0,0,5,10,20
HLM,Road,Diesel,100,100,100,100,100
HLM,Road,Battery electric,0.2,2,15,45,80
HLM,Road,Hydrogen,0,0,0,1,2
HLM,Road,Biodiesel,5,6,10,15,20
HLM,Road,Biogas,0,1,4,7,10
HLM,Sea,HFO,100,100,100,100,100
HLM,Sea,MGO,100,100,100,100,100
HLM,Sea,LNG,10,20,30,30,50
HLM,Sea,Hydrogen,0,0,0,0,0
HLM,Sea,Ammonia,0,0,3,6,10
HLM,Sea,Biodiesel (HVO),0,0,2,6,10
HLM,Sea,Biogas,0,0,2,6,10
HLM,Rail,Diesel,100,100,100,100,100
HLM,Rail,Electric train (CL),100,100,100,100,100
HLM,Rail,Battery train,0,0,10,30,50
HLM,Rail,Hydrogen,0,0,0,0,0
HLM,Rail,Biodiesel,0,0,2,6,10
HLL,Road,Diesel,100,100,100,100,100
HLL,Road,Battery electric,0.2,2,15,45,80
HLL,Road,Hydrogen,0,0,0,1,2
HLL,Road,Biodiesel,5,6,7,8.5,10
HLL,Road,Biogas,0,1,2,3.5,5
HLL,Sea,HFO,100,100,100,100,100
HLL,Sea,MGO,100,100,100,100,100
HLL,Sea,LNG,10,20,30,30,50
HLL,Sea,Hydrogen,0,0,0,0,0
HLL,Sea,Ammonia,0,0,3,6,10
HLL,Sea,Biodiesel (HVO),0,0,2,3.5,5
HLL,Sea,Biogas,0,0,2,3.5,5
HLL,Rail,Diesel,100,100,100,100,100
HLL,Rail,Electric train (CL),100,100,100,100,100
HLL,Rail,Battery train,0,0,10,30,50
HLL,Rail,Hydrogen,0,0,0,0,0
HLL,Rail,Biodiesel,0,0,0,0,0
MHH,Road,Diesel,100,100,100,100,100
MHH,Road,Battery electric,0.2,2,10,25,50
MHH,Road,Hydrogen,0,0,10,25,50
MHH,Road,Biodiesel,5,6,10,20,30
MHH,Road,Biogas,0,1,5,10,20
MHH,Sea,HFO,100,100,100,100,100
MHH,Sea,MGO,100,100,100,100,100
MHH,Sea,LNG,10,20,30,30,50
MHH,Sea,Hydrogen,0,0,5,12,30
MHH,Sea,Ammonia,0,0,7,30,50
MHH,Sea,Biodiesel (HVO),0,0,5,10,20
MHH,Sea,Biogas,0,0,5,10,20
MHH,Rail,Diesel,100,100,100,100,100
MHH,Rail,Electric train (CL),100,100,100,100,100
MHH,Rail,Battery train,0,0,10,15,20
MHH,Rail,Hydrogen,0,0,2,6,10
MHH,Rail,Biodiesel,0,0,5,10,20
MHM,Road,Diesel,100,100,100,100,100
MHM,Road,Battery electric,0.2,2,10,25,50
MHM,Road,Hydrogen,0,0,10,25,50
MHM,Road,Biodiesel,5,6,10,15,20
MHM,Road,Biogas,0,1,4,7,10
MHM,Sea,HFO,100,100,100,100,100
MHM,Sea,MGO,100,100,100,100,100
MHM,Sea,LNG,10,20,30,30,50
MHM,Sea,Hydrogen,0,0,5,12,30
MHM,Sea,Ammonia,0,0,7,30,50
MHM,Sea,Biodiesel (HVO),0,0,2,6,10
MHM,Sea,Biogas,0,0,2,6,10
MHM,Rail,Diesel,100,100,100,100,100
MHM,Rail,Electric train (CL),100,100,100,100,100
MHM,Rail,Battery train,0,0,10,15,20
MHM,Rail,Hydrogen,0,0,2,6,10
MHM,Rail,Biodiesel,0,0,2,6,10
MHL,Road,Diesel,100,100,100,100,100
MHL,Road,Battery electric,0.2,2,10,25,50
MHL,Road,Hydrogen,0,0,10,25,50
MHL,Road,Biodiesel,5,6,7,8.5,10
MHL,Road,Biogas,0,1,2,3.5,5
MHL,Sea,HFO,100,100,100,100,100
MHL,Sea,MGO,100,100,100,100,100
MHL,Sea,LNG,10,20,30,30,50
MHL,Sea,Hydrogen,0,0,5,12,30
MHL,Sea,Ammonia,0,0,7,30,50
MHL,Sea,Biodiesel (HVO),0,0,2,3.5,5
MHL,Sea,Biogas,0,0,2,3.5,5
MHL,Rail,Diesel,100,100,100,100,100
MHL,Rail,Electric train (CL),100,100,100,100,100
MHL,Rail,Battery train,0,0,10,15,20
MHL,Rail,Hydrogen,0,0,2,6,10
MHL,Rail,Biodiesel,0,0,0,0,0
