,paths
0,"[('Hamar', 'Ålesund', 'Rail', 1)]"
1,"[('Ålesund', 'Hamar', 'Rail', 1)]"
2,"[('Oslo', 'Skien', 'Sea', 1)]"
3,"[('Skien', 'Oslo', 'Sea', 1)]"
4,"[('Kristiansand', 'Stavanger', 'Road', 1)]"
5,"[('Stavanger', 'Kristiansand', 'Road', 1)]"
6,"[('Skien', 'Verden', 'Sea', 1)]"
7,"[('Verden', 'Skien', 'Sea', 1)]"
8,"[('Oslo', 'Bergen', 'Rail', 1)]"
9,"[('Bergen', 'Oslo', 'Rail', 1)]"
10,"[('Trondheim', 'Ålesund', 'Sea', 1)]"
11,"[('Ålesund', 'Trondheim', 'Sea', 1)]"
12,"[('Ålesund', 'Skien', 'Sea', 1)]"
13,"[('Skien', 'Ålesund', 'Sea', 1)]"
14,"[('Bodø', 'Nord-Sverige', 'Road', 1)]"
15,"[('Nord-Sverige', 'Bodø', 'Road', 1)]"
16,"[('Kristiansand', 'Europa', 'Sea', 1)]"
17,"[('Europa', 'Kristiansand', 'Sea', 1)]"
18,"[('Kristiansand', 'Stavanger', 'Rail', 1)]"
19,"[('Stavanger', 'Kristiansand', 'Rail', 1)]"
20,"[('Bergen', 'Ålesund', 'Sea', 1)]"
21,"[('Ålesund', 'Bergen', 'Sea', 1)]"
22,"[('Oslo', 'Skien', 'Road', 1)]"
23,"[('Skien', 'Oslo', 'Road', 1)]"
24,"[('Kristiansand', 'Verden', 'Sea', 1)]"
25,"[('Verden', 'Kristiansand', 'Sea', 1)]"
26,"[('Trondheim', 'Tromsø', 'Sea', 1)]"
27,"[('Tromsø', 'Trondheim', 'Sea', 1)]"
28,"[('Trondheim', 'Ålesund', 'Road', 1)]"
29,"[('Ålesund', 'Trondheim', 'Road', 1)]"
30,"[('Kontinentalsokkelen', 'Sør-Sverige', 'Sea', 1)]"
31,"[('Oslo', 'Europa', 'Sea', 1)]"
32,"[('Europa', 'Oslo', 'Sea', 1)]"
33,"[('Trondheim', 'Bodø', 'Road', 1)]"
34,"[('Bodø', 'Trondheim', 'Road', 1)]"
35,"[('Bergen', 'Trondheim', 'Sea', 1)]"
36,"[('Trondheim', 'Bergen', 'Sea', 1)]"
37,"[('Tromsø', 'Europa', 'Sea', 1)]"
38,"[('Europa', 'Tromsø', 'Sea', 1)]"
39,"[('Tromsø', 'Kristiansand', 'Sea', 1)]"
40,"[('Kristiansand', 'Tromsø', 'Sea', 1)]"
41,"[('Trondheim', 'Bodø', 'Rail', 1)]"
42,"[('Bodø', 'Trondheim', 'Rail', 1)]"
43,"[('Oslo', 'Sør-Sverige', 'Sea', 1)]"
44,"[('Sør-Sverige', 'Oslo', 'Sea', 1)]"
45,"[('Skien', 'Nord-Sverige', 'Sea', 1)]"
46,"[('Nord-Sverige', 'Skien', 'Sea', 1)]"
47,"[('Tromsø', 'Stavanger', 'Sea', 1)]"
48,"[('Stavanger', 'Tromsø', 'Sea', 1)]"
49,"[('Tromsø', 'Sør-Sverige', 'Sea', 1)]"
50,"[('Sør-Sverige', 'Tromsø', 'Sea', 1)]"
51,"[('Kristiansand', 'Skien', 'Sea', 1)]"
52,"[('Skien', 'Kristiansand', 'Sea', 1)]"
53,"[('Oslo', 'Verden', 'Sea', 1)]"
54,"[('Verden', 'Oslo', 'Sea', 1)]"
55,"[('Bergen', 'Sør-Sverige', 'Sea', 1)]"
56,"[('Sør-Sverige', 'Bergen', 'Sea', 1)]"
57,"[('Stavanger', 'Verden', 'Sea', 1)]"
58,"[('Verden', 'Stavanger', 'Sea', 1)]"
59,"[('Trondheim', 'Hamar', 'Rail', 2)]"
60,"[('Hamar', 'Trondheim', 'Rail', 2)]"
61,"[('Bodø', 'Tromsø', 'Road', 1)]"
62,"[('Tromsø', 'Bodø', 'Road', 1)]"
63,"[('Stavanger', 'Nord-Sverige', 'Sea', 1)]"
64,"[('Nord-Sverige', 'Stavanger', 'Sea', 1)]"
65,"[('Trondheim', 'Skien', 'Sea', 1)]"
66,"[('Skien', 'Trondheim', 'Sea', 1)]"
67,"[('Tromsø', 'Verden', 'Sea', 1)]"
68,"[('Verden', 'Tromsø', 'Sea', 1)]"
69,"[('Tromsø', 'Skien', 'Sea', 1)]"
70,"[('Skien', 'Tromsø', 'Sea', 1)]"
71,"[('Stavanger', 'Kontinentalsokkelen', 'Sea', 1)]"
72,"[('Kontinentalsokkelen', 'Stavanger', 'Sea', 1)]"
73,"[('Skien', 'Sør-Sverige', 'Sea', 1)]"
74,"[('Sør-Sverige', 'Skien', 'Sea', 1)]"
75,"[('Tromsø', 'Kontinentalsokkelen', 'Sea', 1)]"
76,"[('Kontinentalsokkelen', 'Tromsø', 'Sea', 1)]"
77,"[('Bergen', 'Stavanger', 'Road', 1)]"
78,"[('Stavanger', 'Bergen', 'Road', 1)]"
79,"[('Tromsø', 'Nord-Sverige', 'Sea', 1)]"
80,"[('Nord-Sverige', 'Tromsø', 'Sea', 1)]"
81,"[('Bergen', 'Kontinentalsokkelen', 'Sea', 1)]"
82,"[('Kontinentalsokkelen', 'Bergen', 'Sea', 1)]"
83,"[('Bodø', 'Tromsø', 'Rail', 1)]"
84,"[('Tromsø', 'Bodø', 'Rail', 1)]"
85,"[('Stavanger', 'Europa', 'Sea', 1)]"
86,"[('Europa', 'Stavanger', 'Sea', 1)]"
87,"[('Trondheim', 'Nord-Sverige', 'Rail', 1)]"
